index,Order ID,Date,Status,Fulfilment,Category,Size,ASIN,Courier Status,Qty,Amount,ship-city,ship-state,ship-postal-code
27914,402-6321511-2195519,04-14-22,Shipped,Amazon,Set,XXL,B09QJ48G25,Shipped,1,549,SRINAGAR,JAMMU & KASHMIR,190001
27915,407-3649937-8430707,04-14-22,Shipped,Amazon,kurta,XL,B081X921QM,Shipped,1,399,"Station GHANPUR,WARANGAL DISTRICT",TELANGANA,506143
27916,408-6221563-5340317,04-14-22,Cancelled,Merchant,kurta,XXL,B0893FS7QX,Null,0,968,Mumbai,MAHARASHTRA,400093
27917,403-5621363-5945152,04-14-22,Shipped,Amazon,kurta,3XL,B081WZ4T3V,Shipped,1,471,NEW DELHI,DELHI,110095
27918,408-4361744-6654735,04-14-22,Shipped,Amazon,Set,L,B09RKCX5WR,Shipped,1,237,ONGOLE,ANDHRA PRADESH,523286
27919,171-0038161-4389930,04-14-22,Shipped,Amazon,kurta,L,B08XVFSDR2,Shipped,1,399,PIMPRI pune,MAHARASHTRA,411017
27920,408-4152737-8074747,04-14-22,Shipped,Amazon,Set,L,B07V2NT194,Shipped,1,967,ITWA,UTTAR PRADESH,272192
27921,403-7414866-4339563,04-14-22,Shipped - Delivered to Buyer,Merchant,kurta,L,B07H7FBV3Z,Shipped,1,399,JAMSHEDPUR,JHARKHAND,831011
27922,408-5172102-5041123,04-14-22,Shipped,Amazon,Western Dress,XXL,B09SDZ9BRQ,Shipped,1,824,VADODARA,Gujarat,390011
27923,171-2389335-2190722,04-14-22,Shipped,Amazon,Set,L,B09QJ51J2K,Shipped,1,518,"Jipmer Quarters,Gorimedu",PUDUCHERRY,605006
27924,171-2389335-2190722,04-14-22,Shipped,Amazon,Set,L,B09QJKR216,Shipped,1,791,"Jipmer Quarters,Gorimedu",PUDUCHERRY,605006
27925,171-4775546-8233949,04-14-22,Shipped - Delivered to Buyer,Merchant,kurta,XL,B07BL2NS84,Shipped,1,969,HYDERABAD,TELANGANA,501301
27926,406-0434800-2729140,04-14-22,Shipped,Amazon,Set,M,B0894YWSQN,Shipped,1,1126,NOIDA,UTTAR PRADESH,201301
27927,406-0434800-2729140,04-14-22,Shipped,Amazon,Set,M,B08B3YDL18,Shipped,1,329,NOIDA,UTTAR PRADESH,201301
27928,402-0067470-9087562,04-14-22,Shipped,Amazon,Set,S,B09TH6N4HW,Shipped,1,1115,Trivandrum,KERALA,695035
27929,403-5577104-3213127,04-14-22,Shipped,Amazon,Western Dress,S,B09836XGVQ,Shipped,1,759,Valanchery,KERALA,676552
27930,405-7056416-0968321,04-14-22,Shipped - Returned to Seller,Merchant,kurta,3XL,B09B2DHVDR,Shipped,1,666,GHAZIABAD,UTTAR PRADESH,201016
27931,402-2883556-1965950,04-14-22,Shipped,Amazon,kurta,S,B07R52BR8Q,Shipped,1,496,GUWAHATI,ASSAM,781037
27932,406-3583943-0604327,04-14-22,Shipped,Amazon,Set,M,B0983F3BLZ,Shipped,1,517,VIZIANAGARAM,ANDHRA PRADESH,535001
27933,403-5828601-3953945,04-14-22,Shipped,Amazon,kurta,XS,B07R5WFM9L,Shipped,1,329,PERUMBAVOOR,KERALA,683542
